Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2012-06-04,10.47,10.6,9.935,10.11,11823200.0,0.0,1.0,10.47,10.6,9.935,10.11,11823200.0
2012-06-01,10.04,10.75,9.91,10.43,13724700.0,0.0,1.0,10.04,10.75,9.91,10.43,13724700.0
2012-05-31,10.78,10.86,10.05,10.48,14542200.0,0.0,1.0,10.78,10.86,10.05,10.48,14542200.0
2012-05-30,11.22,11.28,10.77,10.79,9951700.0,0.0,1.0,11.22,11.28,10.77,10.79,9951700.0
2012-05-29,11.4,11.7,11.315,11.54,11185200.0,0.0,1.0,11.4,11.7,11.315,11.54,11185200.0
2012-05-25,11.15,11.37,11.0,11.17,9397500.0,0.0,1.0,11.15,11.37,11.0,11.17,9397500.0
2012-05-24,11.75,11.81,11.04,11.17,12814400.0,0.0,1.0,11.75,11.81,11.04,11.17,12814400.0
2012-05-23,11.05,11.81,10.93,11.77,14360400.0,0.0,1.0,11.05,11.81,10.93,11.77,14360400.0
2012-05-22,11.68,11.8,10.84,11.21,23918900.0,0.0,1.0,11.68,11.8,10.84,11.21,23918900.0
2012-05-21,11.08,11.69,10.98,11.67,11556500.0,0.0,1.0,11.08,11.69,10.98,11.67,11556500.0
2012-05-18,11.66,11.79,10.81,10.89,13981900.0,0.0,1.0,11.66,11.79,10.81,10.89,13981900.0
2012-05-17,11.5,11.7,11.03,11.53,17625400.0,0.0,1.0,11.5,11.7,11.03,11.53,17625400.0
2012-05-16,12.08,12.4,11.38,11.4,20397400.0,0.0,1.0,12.08,12.4,11.38,11.4,20397400.0
2012-05-15,13.13,13.13,11.79,11.92,26774800.0,0.0,1.0,13.13,13.13,11.79,11.92,26774800.0
2012-05-14,13.09,13.67,13.03,13.16,9231300.0,0.0,1.0,13.09,13.67,13.03,13.16,9231300.0
2012-05-11,13.29,13.62,13.115,13.16,11772300.0,0.0,1.0,13.29,13.62,13.115,13.16,11772300.0
2012-05-10,14.25,14.29,13.52,13.67,10467900.0,0.0,1.0,14.25,14.29,13.52,13.67,10467900.0
2012-05-09,13.33,14.18,13.0,13.93,19022900.0,0.0,1.0,13.33,14.18,13.0,13.93,19022900.0
2012-05-08,14.0,14.21,13.24,13.67,20060500.0,0.0,1.0,14.0,14.21,13.24,13.67,20060500.0
2012-05-07,14.3,14.6,14.03,14.21,10200000.0,0.0,1.0,14.3,14.6,14.03,14.21,10200000.0
2012-05-04,14.64,14.8,14.29,14.45,8861700.0,0.0,1.0,14.64,14.8,14.29,14.45,8861700.0
2012-05-03,15.15,15.89,14.66,14.85,17183200.0,0.0,1.0,15.15,15.89,14.66,14.85,17183200.0
2012-05-02,16.14,16.16,15.29,15.49,11517300.0,0.0,1.0,16.14,16.16,15.29,15.49,11517300.0
2012-05-01,16.07,16.69,16.07,16.38,8221100.0,0.0,1.0,16.07,16.69,16.07,16.38,8221100.0
2012-04-30,15.81,16.2525,15.45,16.13,8658100.0,0.0,1.0,15.81,16.2525,15.45,16.13,8658100.0
2012-04-27,16.6,16.6225,15.75,15.87,13515700.0,0.0,1.0,16.6,16.6225,15.75,15.87,13515700.0
2012-04-26,16.33,16.75,16.2,16.51,7536900.0,0.0,1.0,16.33,16.75,16.2,16.51,7536900.0
2012-04-25,16.69,16.72,15.94,16.57,11638900.0,0.0,1.0,16.69,16.72,15.94,16.57,11638900.0
2012-04-24,16.29,16.86,15.92,16.42,11815900.0,0.0,1.0,16.29,16.86,15.92,16.42,11815900.0
2012-04-23,15.62,16.24,15.3301,16.12,14838100.0,0.0,1.0,15.62,16.24,15.3301,16.12,14838100.0
2012-04-20,17.1,17.3,16.1,16.15,14467000.0,0.0,1.0,17.1,17.3,16.1,16.15,14467000.0
2012-04-19,16.38,17.0,16.34,16.82,17464300.0,0.0,1.0,16.38,17.0,16.34,16.82,17464300.0
2012-04-18,16.48,16.74,15.93,16.2,15026000.0,0.0,1.0,16.48,16.74,15.93,16.2,15026000.0
2012-04-17,15.69,16.75,15.69,16.14,17292800.0,0.0,1.0,15.69,16.75,15.69,16.14,17292800.0
2012-04-16,16.15,16.25,15.42,15.53,14682800.0,0.0,1.0,16.15,16.25,15.42,15.53,14682800.0
2012-04-13,16.14,16.2999,15.36,15.66,21665700.0,0.0,1.0,16.14,16.2999,15.36,15.66,21665700.0
2012-04-12,14.91,16.17,14.9,16.08,21832900.0,0.0,1.0,14.91,16.17,14.9,16.08,21832900.0
2012-04-11,14.63,15.1899,14.53,14.63,17215100.0,0.0,1.0,14.63,15.1899,14.53,14.63,17215100.0
2012-04-10,14.13,14.39,13.8,14.27,18814400.0,0.0,1.0,14.13,14.39,13.8,14.27,18814400.0
2012-04-09,14.0,14.5,13.85,14.06,12848300.0,0.0,1.0,14.0,14.5,13.85,14.06,12848300.0
2012-04-05,14.67,14.89,14.05,14.2,14163800.0,0.0,1.0,14.67,14.89,14.05,14.2,14163800.0
2012-04-04,14.47,15.01,14.37,14.76,12883700.0,0.0,1.0,14.47,15.01,14.37,14.76,12883700.0
2012-04-03,15.39,15.39,14.58,14.69,17744500.0,0.0,1.0,15.39,15.39,14.58,14.69,17744500.0
2012-04-02,15.19,15.985,15.0,15.47,12886200.0,0.0,1.0,15.19,15.985,15.0,15.47,12886200.0
2012-03-30,15.59,15.59,14.8,15.21,9108100.0,0.0,1.0,15.59,15.59,14.8,15.21,9108100.0
2012-03-29,14.64,15.35,14.54,15.26,15697500.0,0.0,1.0,14.64,15.35,14.54,15.26,15697500.0
2012-03-28,15.46,15.54,14.62,14.87,14855000.0,0.0,1.0,15.46,15.54,14.62,14.87,14855000.0
2012-03-27,15.72,15.99,15.5,15.52,7561100.0,0.0,1.0,15.72,15.99,15.5,15.52,7561100.0
2012-03-26,16.22,16.23,15.36,15.68,12767900.0,0.0,1.0,16.22,16.23,15.36,15.68,12767900.0
2012-03-23,15.83,16.44,15.61,15.98,11034800.0,0.0,1.0,15.83,16.44,15.61,15.98,11034800.0
2012-03-22,16.35,16.41,15.8,16.03,10469000.0,0.0,1.0,16.35,16.41,15.8,16.03,10469000.0
2012-03-21,16.65,16.98,16.41,16.7,7917000.0,0.0,1.0,16.65,16.98,16.41,16.7,7917000.0
2012-03-20,17.0199,17.02,16.23,16.61,10251100.0,0.0,1.0,17.0199,17.02,16.23,16.61,10251100.0
2012-03-19,17.25,17.79,17.2,17.32,10934300.0,0.0,1.0,17.25,17.79,17.2,17.32,10934300.0
2012-03-16,16.87,17.78,16.75,17.36,16617400.0,0.0,1.0,16.87,17.78,16.75,17.36,16617400.0
2012-03-15,15.8,16.7636,15.6,16.68,16472100.0,0.0,1.0,15.8,16.7636,15.6,16.68,16472100.0
2012-03-14,16.2,16.39,15.62,15.77,10970100.0,0.0,1.0,16.2,16.39,15.62,15.77,10970100.0
2012-03-13,15.92,16.35,15.65,16.2,9318200.0,0.0,1.0,15.92,16.35,15.65,16.2,9318200.0
2012-03-12,16.34,16.69,15.75,15.76,10067300.0,0.0,1.0,16.34,16.69,15.75,15.76,10067300.0
2012-03-09,16.1,16.84,15.95,16.43,10912700.0,0.0,1.0,16.1,16.84,15.95,16.43,10912700.0
2012-03-08,16.37,16.54,15.74,16.06,11459700.0,0.0,1.0,16.37,16.54,15.74,16.06,11459700.0
2012-03-07,16.53,16.57,16.09,16.25,11404200.0,0.0,1.0,16.53,16.57,16.09,16.25,11404200.0
2012-03-06,15.85,16.54,15.52,16.19,18768100.0,0.0,1.0,15.85,16.54,15.52,16.19,18768100.0
2012-03-05,17.26,17.3199,16.21,16.35,17260200.0,0.0,1.0,17.26,17.3199,16.21,16.35,17260200.0
2012-03-02,18.41,18.44,17.33,17.4,14089400.0,0.0,1.0,18.41,18.44,17.33,17.4,14089400.0
2012-03-01,18.78,18.99,18.4,18.45,8314300.0,0.0,1.0,18.78,18.99,18.4,18.45,8314300.0
2012-02-29,19.23,19.52,18.47,18.56,11786300.0,0.0,1.0,19.23,19.52,18.47,18.56,11786300.0
2012-02-28,19.75,19.81,18.95,19.22,11781200.0,0.0,1.0,19.75,19.81,18.95,19.22,11781200.0
2012-02-27,20.1,20.27,19.55,19.73,13635500.0,0.0,1.0,20.1,20.27,19.55,19.73,13635500.0
2012-02-24,19.22,20.49,18.79,20.46,27203400.0,0.0,1.0,19.22,20.49,18.79,20.46,27203400.0
2012-02-23,19.46,19.85,19.18,19.82,9624300.0,0.0,1.0,19.46,19.85,19.18,19.82,9624300.0
2012-02-22,19.93,20.26,19.41,19.49,9171900.0,0.0,1.0,19.93,20.26,19.41,19.49,9171900.0
2012-02-21,20.4,20.699,19.94,20.04,9513200.0,0.0,1.0,20.4,20.699,19.94,20.04,9513200.0
2012-02-17,21.12,21.19,20.0,20.11,8554100.0,0.0,1.0,21.12,21.19,20.0,20.11,8554100.0
2012-02-16,20.54,20.97,19.91,20.9,8601100.0,0.0,1.0,20.54,20.97,19.91,20.9,8601100.0
2012-02-15,20.2,20.6,19.805,20.46,10073700.0,0.0,1.0,20.2,20.6,19.805,20.46,10073700.0
2012-02-14,20.49,20.49,19.59,19.95,10859800.0,0.0,1.0,20.49,20.49,19.59,19.95,10859800.0
2012-02-13,21.44,21.45,20.31,20.56,9486000.0,0.0,1.0,21.44,21.45,20.31,20.56,9486000.0
2012-02-10,21.77,22.05,20.8513,21.04,12979700.0,0.0,1.0,21.77,22.05,20.8513,21.04,12979700.0
2012-02-09,22.05,22.45,21.48,22.4,11071200.0,0.0,1.0,22.05,22.45,21.48,22.4,11071200.0
2012-02-08,22.45,23.08,21.76,21.85,12215300.0,0.0,1.0,22.45,23.08,21.76,21.85,12215300.0
2012-02-07,23.39,23.49,22.2,22.31,11351800.0,0.0,1.0,23.39,23.49,22.2,22.31,11351800.0
2012-02-06,22.1,23.68,22.01,23.54,14680000.0,0.0,1.0,22.1,23.68,22.01,23.54,14680000.0
2012-02-03,22.43,22.89,21.9,22.78,13523900.0,0.0,1.0,22.43,22.89,21.9,22.78,13523900.0
2012-02-02,20.15,21.97,20.08,21.64,15633900.0,0.0,1.0,20.15,21.97,20.08,21.64,15633900.0
2012-02-01,20.52,20.67,20.01,20.12,10103800.0,0.0,1.0,20.52,20.67,20.01,20.12,10103800.0
2012-01-31,21.44,21.59,20.02,20.12,12311200.0,0.0,1.0,21.44,21.59,20.02,20.12,12311200.0
2012-01-30,21.16,21.32,20.68,21.11,8162300.0,0.0,1.0,21.16,21.32,20.68,21.11,8162300.0
2012-01-27,20.24,21.75,20.24,21.65,9746700.0,0.0,1.0,20.24,21.75,20.24,21.65,9746700.0
2012-01-26,21.44,21.6,20.22,20.45,9129400.0,0.0,1.0,21.44,21.6,20.22,20.45,9129400.0
2012-01-25,20.03,21.0,19.71,20.92,11249800.0,0.0,1.0,20.03,21.0,19.71,20.92,11249800.0
2012-01-24,20.1,20.32,19.53,20.13,10862100.0,0.0,1.0,20.1,20.32,19.53,20.13,10862100.0
2012-01-23,20.28,21.26,20.04,20.76,9246000.0,0.0,1.0,20.28,21.26,20.04,20.76,9246000.0
2012-01-20,19.51,19.96,19.15,19.91,8876900.0,0.0,1.0,19.51,19.96,19.15,19.91,8876900.0
2012-01-19,20.0299,20.09,19.48,19.64,8951500.0,0.0,1.0,20.0299,20.09,19.48,19.64,8951500.0
2012-01-18,19.11,20.0,18.74,19.77,9934800.0,0.0,1.0,19.11,20.0,18.74,19.77,9934800.0
2012-01-17,20.42,20.5,19.25,19.28,13103800.0,0.0,1.0,20.42,20.5,19.25,19.28,13103800.0
2012-01-13,21.7,21.75,20.0,20.19,14074900.0,0.0,1.0,21.7,21.75,20.0,20.19,14074900.0
2012-01-12,22.49,22.8,21.79,22.55,10319300.0,0.0,1.0,22.49,22.8,21.79,22.55,10319300.0
2012-01-11,21.29,22.29,21.09,22.2,7403600.0,0.0,1.0,21.29,22.29,21.09,22.2,7403600.0
2012-01-10,21.47,21.81,21.11,21.33,5700900.0,0.0,1.0,21.47,21.81,21.11,21.33,5700900.0
2012-01-09,21.39,21.59,20.7,20.76,5516200.0,0.0,1.0,21.39,21.59,20.7,20.76,5516200.0
2012-01-06,21.99,21.99,21.16,21.2,5230600.0,0.0,1.0,21.99,21.99,21.16,21.2,5230600.0
2012-01-05,21.84,22.14,21.54,21.72,6158100.0,0.0,1.0,21.84,22.14,21.54,21.72,6158100.0
2012-01-04,21.35,22.37,21.12,22.21,7066100.0,0.0,1.0,21.35,22.37,21.12,22.21,7066100.0
2012-01-03,21.58,22.31,21.44,22.07,8369000.0,0.0,1.0,21.58,22.31,21.44,22.07,8369000.0
2011-12-30,19.51,20.61,19.45,20.43,4995100.0,0.0,1.0,19.51,20.61,19.45,20.43,4995100.0
2011-12-29,19.61,19.86,19.34,19.7,4593300.0,0.0,1.0,19.61,19.86,19.34,19.7,4593300.0
2011-12-28,20.08,20.32,19.28,19.47,7310500.0,0.0,1.0,20.08,20.32,19.28,19.47,7310500.0
2011-12-27,20.59,20.77,19.97,20.14,3877200.0,0.0,1.0,20.59,20.77,19.97,20.14,3877200.0
2011-12-23,21.27,21.33,20.5,20.73,5038500.0,0.0,1.0,21.27,21.33,20.5,20.73,5038500.0
2011-12-22,20.18,21.1,20.01,20.99,6472400.0,0.0,1.0,20.18,21.1,20.01,20.99,6472400.0
2011-12-21,19.31,20.1,18.89,20.02,8409300.0,0.0,1.0,19.31,20.1,18.89,20.02,8409300.0
2011-12-20,18.73,19.59,18.73,19.47,8062900.0,0.0,1.0,18.73,19.59,18.73,19.47,8062900.0
2011-12-19,19.79,19.79,18.1,18.2,10338000.0,0.0,1.0,19.79,19.79,18.1,18.2,10338000.0
2011-12-16,19.53,20.015,19.18,19.62,8552600.0,0.0,1.0,19.53,20.015,19.18,19.62,8552600.0
2011-12-15,20.6,20.67,19.17,19.27,9454500.0,0.0,1.0,20.6,20.67,19.17,19.27,9454500.0
2011-12-14,19.99,20.42,19.27,19.87,13078400.0,0.0,1.0,19.99,20.42,19.27,19.87,13078400.0
2011-12-13,21.66,22.0407,20.3,20.55,7889700.0,0.0,1.0,21.66,22.0407,20.3,20.55,7889700.0
2011-12-12,22.58,22.61,20.54,21.39,14061300.0,0.0,1.0,22.58,22.61,20.54,21.39,14061300.0
2011-12-09,22.77,23.75,22.56,23.45,6885900.0,0.0,1.0,22.77,23.75,22.56,23.45,6885900.0
2011-12-08,24.35,24.36,22.5,22.6,10869400.0,0.0,1.0,24.35,24.36,22.5,22.6,10869400.0
2011-12-07,24.41,24.82,23.75,24.66,7665900.0,0.0,1.0,24.41,24.82,23.75,24.66,7665900.0
2011-12-06,24.97,25.47,24.11,24.88,9617000.0,0.0,1.0,24.97,25.47,24.11,24.88,9617000.0
2011-12-05,25.04,25.48,24.68,25.17,8100100.0,0.0,1.0,25.04,25.48,24.68,25.17,8100100.0
2011-12-02,24.53,25.17,24.01,24.11,8063100.0,0.0,1.0,24.53,25.17,24.01,24.11,8063100.0
2011-12-01,23.87,24.2,23.12,23.99,7316800.0,0.0,1.0,23.87,24.2,23.12,23.99,7316800.0
2011-11-30,22.2,24.05,22.15,24.0,15806500.0,0.0,1.0,22.2,24.05,22.15,24.0,15806500.0
2011-11-29,20.38,21.31,20.01,20.84,9250300.0,0.0,1.0,20.38,21.31,20.01,20.84,9250300.0
2011-11-28,20.48,20.69,19.82,20.29,8501500.0,0.0,1.0,20.48,20.69,19.82,20.29,8501500.0
2011-11-25,19.15,19.64,18.8,18.81,3379000.0,0.0,1.0,19.15,19.64,18.8,18.81,3379000.0
2011-11-23,20.24,20.5,19.24,19.27,9206200.0,0.0,1.0,20.24,20.5,19.24,19.27,9206200.0
2011-11-22,21.15,21.26,20.3,20.65,9829200.0,0.0,1.0,21.15,21.26,20.3,20.65,9829200.0
2011-11-21,21.18,21.495,20.38,21.26,11149300.0,0.0,1.0,21.18,21.495,20.38,21.26,11149300.0
2011-11-18,23.24,23.32,22.07,22.23,11115600.0,0.0,1.0,23.24,23.32,22.07,22.23,11115600.0
2011-11-17,24.66,24.74,22.52,22.86,11377700.0,0.0,1.0,24.66,24.74,22.52,22.86,11377700.0
2011-11-16,25.52,25.9,24.52,24.59,9739000.0,0.0,1.0,25.52,25.9,24.52,24.59,9739000.0
2011-11-15,25.54,26.28,25.22,25.92,7373300.0,0.0,1.0,25.54,26.28,25.22,25.92,7373300.0
2011-11-14,26.33,26.7,25.36,25.86,8486600.0,0.0,1.0,26.33,26.7,25.36,25.86,8486600.0
2011-11-11,26.15,26.85,25.71,26.39,7940500.0,0.0,1.0,26.15,26.85,25.71,26.39,7940500.0
2011-11-10,26.66,26.94,25.07,25.47,10698000.0,0.0,1.0,26.66,26.94,25.07,25.47,10698000.0
2011-11-09,27.29,27.84,25.85,25.91,14126000.0,0.0,1.0,27.29,27.84,25.85,25.91,14126000.0
2011-11-08,28.23,29.29,28.0,28.7,11303800.0,0.0,1.0,28.23,29.29,28.0,28.7,11303800.0
2011-11-07,28.28,28.73,26.94,27.74,8681500.0,0.0,1.0,28.28,28.73,26.94,27.74,8681500.0
2011-11-04,26.76,28.83,26.44,28.09,13429300.0,0.0,1.0,26.76,28.83,26.44,28.09,13429300.0
2011-11-03,26.85,27.5,25.45,27.11,16692800.0,0.0,1.0,26.85,27.5,25.45,27.11,16692800.0
2011-11-02,23.96,24.36,23.49,23.93,7200200.0,0.0,1.0,23.96,24.36,23.49,23.93,7200200.0
2011-11-01,22.51,23.83,21.35,23.14,11799700.0,0.0,1.0,22.51,23.83,21.35,23.14,11799700.0
2011-10-31,25.64,25.83,24.04,24.04,11226000.0,0.0,1.0,25.64,25.83,24.04,24.04,11226000.0
2011-10-28,24.34,27.7,24.03,26.56,13280700.0,0.0,1.0,24.34,27.7,24.03,26.56,13280700.0
2011-10-27,24.36,25.27,23.965,24.99,10632200.0,0.0,1.0,24.36,25.27,23.965,24.99,10632200.0
2011-10-26,22.88,23.28,21.94,22.88,7894500.0,0.0,1.0,22.88,23.28,21.94,22.88,7894500.0
2011-10-25,23.2,23.2,21.87,22.26,9626900.0,0.0,1.0,23.2,23.2,21.87,22.26,9626900.0
2011-10-24,22.04,23.99,21.85,23.79,10836100.0,0.0,1.0,22.04,23.99,21.85,23.79,10836100.0
2011-10-21,21.55,21.73,21.02,21.73,7473000.0,0.0,1.0,21.55,21.73,21.02,21.73,7473000.0
2011-10-20,20.54,21.03,19.86,20.9,7173000.0,0.0,1.0,20.54,21.03,19.86,20.9,7173000.0
2011-10-19,21.58,21.65,20.329,20.45,7174400.0,0.0,1.0,21.58,21.65,20.329,20.45,7174400.0
2011-10-18,20.12,21.65,19.27,21.27,10711200.0,0.0,1.0,20.12,21.65,19.27,21.27,10711200.0
2011-10-17,21.64,21.68,19.935,20.17,8206100.0,0.0,1.0,21.64,21.68,19.935,20.17,8206100.0
2011-10-14,21.68,22.34,20.93,21.65,7949800.0,0.0,1.0,21.68,22.34,20.93,21.65,7949800.0
2011-10-13,20.69,21.18,19.22,20.66,13393600.0,0.0,1.0,20.69,21.18,19.22,20.66,13393600.0
2011-10-12,21.1,22.04,20.75,20.79,10799700.0,0.0,1.0,21.1,22.04,20.75,20.79,10799700.0
2011-10-11,19.73,21.03,19.5,20.71,9308200.0,0.0,1.0,19.73,21.03,19.5,20.71,9308200.0
2011-10-10,19.2,20.03,19.19,20.03,6251800.0,0.0,1.0,19.2,20.03,19.19,20.03,6251800.0
2011-10-07,19.45,19.74,17.94,18.39,8167700.0,0.0,1.0,19.45,19.74,17.94,18.39,8167700.0
2011-10-06,19.62,19.89,18.47,19.17,12545200.0,0.0,1.0,19.62,19.89,18.47,19.17,12545200.0
2011-10-05,17.73,19.79,17.34,19.7,16258000.0,0.0,1.0,17.73,19.79,17.34,19.7,16258000.0
2011-10-04,15.77,17.47,15.49,17.44,17800000.0,0.0,1.0,15.77,17.47,15.49,17.44,17800000.0
2011-10-03,17.35,17.83,16.0,16.04,11850700.0,0.0,1.0,17.35,17.83,16.0,16.04,11850700.0
2011-09-30,18.33,18.47,17.65,17.69,10096000.0,0.0,1.0,18.33,18.47,17.65,17.69,10096000.0
2011-09-29,19.61,19.7,18.13,18.71,8905600.0,0.0,1.0,19.61,19.7,18.13,18.71,8905600.0
2011-09-28,21.47,21.57,18.85,18.92,11257000.0,0.0,1.0,21.47,21.57,18.85,18.92,11257000.0
2011-09-27,22.34,22.825,21.0,21.26,8185900.0,0.0,1.0,22.34,22.825,21.0,21.26,8185900.0
2011-09-26,20.74,21.48,19.07,21.43,10393100.0,0.0,1.0,20.74,21.48,19.07,21.43,10393100.0
2011-09-23,19.59,20.87,19.56,20.39,10585700.0,0.0,1.0,19.59,20.87,19.56,20.39,10585700.0
2011-09-22,20.96,21.08,19.02,19.8,16998400.0,0.0,1.0,20.96,21.08,19.02,19.8,16998400.0
2011-09-21,23.9,25.68,22.26,22.3,19226200.0,0.0,1.0,23.9,25.68,22.26,22.3,19226200.0
2011-09-20,28.69,28.71,26.79,26.92,6827800.0,0.0,1.0,28.69,28.71,26.79,26.92,6827800.0
2011-09-19,28.72,28.84,27.92,28.55,5988800.0,0.0,1.0,28.72,28.84,27.92,28.55,5988800.0
2011-09-16,30.52,30.66,29.25,29.77,5488300.0,0.0,1.0,30.52,30.66,29.25,29.77,5488300.0
2011-09-15,30.25,30.53,29.52,30.45,6111500.0,0.0,1.0,30.25,30.53,29.52,30.45,6111500.0
2011-09-14,29.92,30.2,28.79,29.72,5980400.0,0.0,1.0,29.92,30.2,28.79,29.72,5980400.0
2011-09-13,29.81,30.1,28.91,29.62,7573800.0,0.0,1.0,29.81,30.1,28.91,29.62,7573800.0
2011-09-12,30.11,30.96,28.62,29.69,7265300.0,0.0,1.0,30.11,30.96,28.62,29.69,7265300.0
2011-09-09,31.04,32.28,30.42,30.81,6363200.0,0.0,1.0,31.04,32.28,30.42,30.81,6363200.0
2011-09-08,33.04,33.55,31.31,31.7,8715200.0,0.0,1.0,33.04,33.55,31.31,31.7,8715200.0
2011-09-07,31.87,33.59,31.5699,33.44,8840700.0,0.0,1.0,31.87,33.59,31.5699,33.44,8840700.0
2011-09-06,29.43,30.3,29.28,30.23,5375600.0,0.0,1.0,29.43,30.3,29.28,30.23,5375600.0
2011-09-02,30.94,31.36,30.43,30.89,4363800.0,0.0,1.0,30.94,31.36,30.43,30.89,4363800.0
2011-09-01,33.34,33.64,31.86,32.0,6849000.0,0.0,1.0,33.34,33.64,31.86,32.0,6849000.0
2011-08-31,34.515,34.8,32.57,33.07,8871400.0,0.0,1.0,34.515,34.8,32.57,33.07,8871400.0
2011-08-30,34.44,35.15,32.95,34.02,9433300.0,0.0,1.0,34.44,35.15,32.95,34.02,9433300.0
2011-08-29,33.92,34.93,33.92,34.91,4758000.0,0.0,1.0,33.92,34.93,33.92,34.91,4758000.0
2011-08-26,31.61,33.53,31.36,33.27,5476800.0,0.0,1.0,31.61,33.53,31.36,33.27,5476800.0
2011-08-25,32.64,33.21,31.42,32.01,6836400.0,0.0,1.0,32.64,33.21,31.42,32.01,6836400.0
2011-08-24,30.9,32.499,30.4,32.32,7821400.0,0.0,1.0,30.9,32.499,30.4,32.32,7821400.0
2011-08-23,28.78,31.22,28.34,30.97,10477700.0,0.0,1.0,28.78,31.22,28.34,30.97,10477700.0
2011-08-22,30.14,30.16,27.5,28.36,8685300.0,0.0,1.0,30.14,30.16,27.5,28.36,8685300.0
2011-08-19,28.46,30.66,28.3,28.94,5582700.0,0.0,1.0,28.46,30.66,28.3,28.94,5582700.0
