,Open,High,Low,Close,Volume
2019-03-08,100.8,101.91,100.76,101.72,594380
2019-03-11,101.98,102.91,101.73,102.64,1029038
2019-03-12,103.0,103.0,101.62,102.48,974050
2019-03-13,102.98,103.21,102.22,102.82,1028176
2019-03-14,102.61,103.53,102.43,102.92,619439
2019-03-15,102.69,104.25,102.58,103.56,1444319
2019-03-18,104.01,105.46,103.85,105.42,1024934
2019-03-19,105.75,105.91,103.72,104.0,891069
2019-03-20,103.96,104.44,101.74,101.9,1010771
2019-03-21,101.06,102.82,100.99,101.54,1074904
2019-03-22,100.11,100.48,97.09,98.1,1636860
2019-03-25,98.43,99.68,97.98,99.11,894108
2019-03-26,99.65,100.71,99.26,100.63,842570
2019-03-27,100.36,101.01,99.64,100.45,693693
2019-03-28,100.43,101.22,99.77,100.55,976319
2019-03-29,101.44,101.89,100.34,100.46,848426
2019-04-01,101.76,102.59,101.06,102.51,1639068
2019-04-02,102.6,104.26,102.33,103.7,969792
2019-04-03,104.56,104.93,103.78,104.24,779842
2019-04-04,104.03,104.86,103.77,104.6,858460
2019-04-05,104.88,105.25,104.13,104.77,828447
2019-04-08,104.59,104.99,103.86,104.27,1105334
2019-04-09,103.91,104.09,102.28,102.69,1826587
2019-04-10,103.03,103.51,102.23,103.36,1888078
2019-04-11,103.74,104.0,102.39,102.56,1536670
2019-04-12,100.0,102.93,99.4,101.8,2953177
2019-04-15,101.48,102.09,100.29,101.63,1382370
2019-04-16,101.88,103.435,101.45,103.0,1355003
2019-04-17,103.47,103.49,102.31,103.21,1135992
2019-04-18,102.93,104.35,102.42,103.62,996781
2019-04-22,103.27,103.87,102.63,103.83,998024
2019-04-23,103.77,106.33,103.64,106.26,1246177
2019-04-24,105.75,106.44,104.96,106.27,951532
2019-04-25,105.9,106.99,105.09,106.12,805613
2019-04-26,106.12,106.57,105.42,106.36,641575
2019-04-29,106.43,107.75,106.25,106.28,1018932
2019-04-30,106.01,106.57,105.08,105.62,1430558
2019-05-01,105.81,106.45,103.04,103.16,2143696
2019-05-02,103.4,104.88,103.34,104.02,1638126
2019-05-03,104.55,105.77,104.49,105.52,1512319
2019-05-06,104.04,105.68,103.97,105.16,655102
2019-05-07,104.16,104.62,102.94,103.6,1317610
2019-05-08,103.4,103.53,102.48,102.56,1148834
2019-05-09,101.47,103.29,101.17,102.99,1172376
2019-05-10,102.53,103.65,101.57,103.31,824572
2019-05-13,101.22,101.73,98.36,98.84,1168048
2019-05-14,99.25,100.9,98.68,100.27,1146688
2019-05-15,99.2,99.73,98.16,99.43,1342827
2019-05-16,100.14,101.42,100.03,100.7,822933
2019-05-17,99.6,101.23,99.6,99.96,657382
2019-05-20,99.8,100.73,99.49,100.16,541837
2019-05-21,100.35,101.44,100.32,100.94,648961
2019-05-22,100.68,101.03,99.69,99.92,572270
2019-05-23,99.13,99.21,98.15,99.08,601343
2019-05-24,99.68,100.77,99.68,100.52,1246285
2019-05-28,100.45,101.05,99.41,99.41,860521
2019-05-29,98.43,99.64,97.89,99.34,618323
2019-05-30,99.37,99.94,97.66,97.99,1059348
2019-05-31,96.98,97.81,96.06,97.02,922378
2019-06-03,96.62,97.14,95.32,95.76,1110391
2019-06-04,97.0,98.71,96.85,98.7,716054
2019-06-05,98.94,99.26,97.77,98.51,809268
2019-06-06,98.42,99.07,97.56,98.75,454904
2019-06-07,98.58,98.6074,97.57,97.94,660565
2019-06-10,98.87,99.82,98.72,98.88,895446
2019-06-11,99.5,100.06,96.98,97.84,1177038
2019-06-12,97.83,98.73,96.52,96.62,735414
2019-06-13,97.07,97.76,96.12,96.34,1168113
2019-06-14,96.36,97.11,95.42,96.35,1427837
2019-06-17,96.35,96.79,95.06,95.27,604077
2019-06-18,95.6,97.43,95.56,95.92,759238
2019-06-19,95.96,97.3,95.76,95.91,746056
2019-06-20,96.4,96.6,94.97,95.96,1015006
2019-06-21,95.91,96.58,95.39,95.43,1356818
2019-06-24,95.07,96.28,95.05,95.28,852676
2019-06-25,95.0,96.08,94.17,95.85,1233629
