,Added_date,Removed_date,Predecessor
INTC,1990-01-01,2020-01-01,
ICE,2007-09-26,2020-01-01,FDC
IBM,1990-01-01,2020-01-01,
IP,1990-01-01,2020-01-01,
IPG,1990-01-01,2020-01-01,
IFF,1990-01-01,2020-01-01,
INTU,2000-12-05,2020-01-01,BS
ISRG,1990-01-01,2020-01-01,
IVZ,1990-01-01,2020-01-01,
IPGP,2018-03-07,2020-01-01,SNI
IQV,1990-01-01,2020-01-01,
IRM,1990-01-01,2020-01-01,
JKHY,2018-11-13,2020-01-01,EQT
J,2007-10-26,2020-01-01,AV
JBHT,2015-07-01,2020-01-01,TEG
SJM,1990-01-01,2020-01-01,
JNJ,1990-01-01,2020-01-01,
JCI,1990-01-01,2020-01-01,
JPM,1990-01-01,2020-01-01,
JNPR,2006-06-02,2020-01-01,ABS
KSU,2013-05-23,2020-01-01,DF
K,1990-01-01,2020-01-01,
KEY,1990-01-01,2020-01-01,
KEYS,2018-11-06,2020-01-01,CA
KMB,1990-01-01,2020-01-01,
KIM,1990-01-01,2020-01-01,
KMI,2012-05-17,2020-01-01,EP
KLAC,1990-01-01,2020-01-01,
KHC,2015-07-06,2020-01-01,KRFT
KR,1990-01-01,2020-01-01,
LHX,2008-09-16,2020-01-01,LEH
LH,1990-01-01,2020-01-01,
LRCX,2012-06-05,2020-01-01,NVLS
LW,2018-12-03,2020-01-01,COL
LVS,2019-10-03,2020-01-01,NKTR
LEG,1990-01-01,2020-01-01,
LDOS,2019-08-09,2020-01-01,APC
LEN,1990-01-01,2020-01-01,
LLY,1990-01-01,2020-01-01,
LNC,1990-01-01,2020-01-01,
LIN,1990-01-01,2020-01-01,
LYV,2019-12-23,2020-01-01,AMG
LKQ,2016-05-23,2020-01-01,ARG
LMT,1990-01-01,2020-01-01,
L,1990-01-01,2020-01-01,
LOW,1990-01-01,2020-01-01,
LUMN,1990-01-01,2020-01-01,
LYB,2012-09-05,2020-01-01,SHLD
MTB,1990-01-01,2020-01-01,
MRO,1990-01-01,2020-01-01,
MPC,2011-06-30,2020-01-01,RSH
MKTX,2019-07-01,2020-01-01,LLL
MAR,1990-01-01,2020-01-01,
MMC,1990-01-01,2020-01-01,
MLM,2014-07-02,2020-01-01,X
MAS,1990-01-01,2020-01-01,
MA,1990-01-01,2020-01-01,
MTCH,2021-09-20,2020-01-01,PRGO
MKC,1990-01-01,2020-01-01,
MCD,1990-01-01,2020-01-01,
MCK,1990-01-01,2020-01-01,
MDT,1990-01-01,2020-01-01,
MRK,1990-01-01,2020-01-01,
FB,2013-12-23,2020-01-01,TER
MET,1990-01-01,2020-01-01,
MTD,2016-09-06,2020-01-01,TYC
MGM,2017-07-26,2020-01-01,RAI
MCHP,1990-01-01,2020-01-01,
MU,1990-01-01,2020-01-01,
MSFT,1990-01-01,2020-01-01,
MAA,2016-12-02,2020-01-01,OI
MRNA,2021-07-21,2020-01-01,ALXN
MHK,2013-12-23,2020-01-01,JDSU
TAP,1990-01-01,2020-01-01,
MDLZ,2007-03-30,2020-01-01,TSG
MPWR,2021-02-12,2020-01-01,FTI
MNST,2012-06-29,2020-01-01,SLE
MCO,1990-01-01,2020-01-01,
MS,1990-01-01,2020-01-01,
MOS,2011-09-23,2020-01-01,NSM
MSI,1990-01-01,2020-01-01,
MSCI,2018-04-04,2020-01-01,CSRA
NDAQ,1990-01-01,2020-01-01,
NTAP,1990-01-01,2020-01-01,
NFLX,2010-12-17,2020-01-01,ODP
NWL,1990-01-01,2020-01-01,
NEM,1990-01-01,2020-01-01,
NWSA,1990-01-01,2020-01-01,
NWS,1990-01-01,2020-01-01,
NEE,1990-01-01,2020-01-01,
NLSN,2013-07-08,2020-01-01,S
NKE,1990-01-01,2020-01-01,
NI,1990-01-01,2020-01-01,
NSC,1990-01-01,2020-01-01,
NTRS,1990-01-01,2020-01-01,
NOC,1990-01-01,2020-01-01,
NLOK,1990-01-01,2020-01-01,
NCLH,2017-10-13,2020-01-01,LVLT
NRG,1990-01-01,2020-01-01,
NUE,1990-01-01,2020-01-01,
NVDA,1990-01-01,2020-01-01,
NVR,2019-09-26,2020-01-01,JEF
NXPI,2021-03-22,2020-01-01,FLS
ORLY,1990-01-01,2020-01-01,
OXY,1990-01-01,2020-01-01,
ODFL,2019-12-09,2020-01-01,STI
OMC,1990-01-01,2020-01-01,
OKE,1990-01-01,2020-01-01,
ORCL,1990-01-01,2020-01-01,
OGN,2021-06-03,2020-01-01,HFC
OTIS,2020-04-03,2020-01-01,M
PCAR,1990-01-01,2020-01-01,
PKG,2017-07-26,2020-01-01,MUR
PH,1990-01-01,2020-01-01,
PAYX,1990-01-01,2020-01-01,
PAYC,2020-01-28,2020-01-01,WCG
PYPL,2015-07-20,2020-01-01,NE
PENN,2021-03-22,2020-01-01,SLG
PNR,2012-10-01,2020-01-01,DV
PBCT,1990-01-01,2020-01-01,
PEP,1990-01-01,2020-01-01,
PKI,1990-01-01,2020-01-01,
PFE,1990-01-01,2020-01-01,
PM,1990-01-01,2020-01-01,
PSX,2012-04-23,2020-01-01,SVU
PNW,1990-01-01,2020-01-01,
PXD,1990-01-01,2020-01-01,
PNC,1990-01-01,2020-01-01,
POOL,2020-10-07,2020-01-01,ETFC
PPG,1990-01-01,2020-01-01,
PPL,1990-01-01,2020-01-01,
PFG,1990-01-01,2020-01-01,
PG,1990-01-01,2020-01-01,
PGR,1990-01-01,2020-01-01,
PLD,1990-01-01,2020-01-01,
PRU,1990-01-01,2020-01-01,
PTC,2021-04-20,2020-01-01,VAR
PEG,1990-01-01,2020-01-01,
PSA,1990-01-01,2020-01-01,
PHM,1990-01-01,2020-01-01,
PVH,2013-02-15,2020-01-01,BIG
QRVO,2015-06-11,2020-01-01,LO
PWR,1990-01-01,2020-01-01,
QCOM,1990-01-01,2020-01-01,
DGX,1990-01-01,2020-01-01,
RL,1990-01-01,2020-01-01,
RJF,2017-03-20,2020-01-01,FTR
RTX,1990-01-01,2020-01-01,
O,2015-04-07,2020-01-01,WIN
REG,2017-03-02,2020-01-01,ENDP
REGN,2013-04-30,2020-01-01,PCS
RF,1990-01-01,2020-01-01,
RSG,1990-01-01,2020-01-01,
RMD,2017-07-26,2020-01-01,MNK
RHI,1990-01-01,2020-01-01,
ROK,1990-01-01,2020-01-01,
ROL,2018-10-01,2020-01-01,ANDV
ROP,1990-01-01,2020-01-01,
ROST,2009-12-18,2020-01-01,MBI
RCL,2014-12-05,2020-01-01,BMS
SPGI,1990-01-01,2020-01-01,
CRM,2008-09-12,2020-01-01,FRE
SBAC,2017-09-01,2020-01-01,DD
SLB,1990-01-01,2020-01-01,
STX,2012-07-02,2020-01-01,PGN
SEE,1990-01-01,2020-01-01,
SRE,1990-01-01,2020-01-01,
NOW,2019-11-21,2020-01-01,CELG
SHW,1990-01-01,2020-01-01,
SPG,1990-01-01,2020-01-01,
SWKS,2015-03-12,2020-01-01,PETM
SNA,1990-01-01,2020-01-01,
SO,1990-01-01,2020-01-01,
LUV,1990-01-01,2020-01-01,
SWK,1990-01-01,2020-01-01,
SBUX,1990-01-01,2020-01-01,
STT,1990-01-01,2020-01-01,
STE,2019-12-23,2020-01-01,MAC
SYK,1990-01-01,2020-01-01,
SIVB,2018-03-19,2020-01-01,PDCO
SYF,2015-11-18,2020-01-01,GNW
SNPS,2017-03-16,2020-01-01,HAR
SYY,1990-01-01,2020-01-01,
TMUS,2019-07-15,2020-01-01,RHT
TROW,1990-01-01,2020-01-01,
TTWO,2018-03-19,2020-01-01,SIG
TPR,1990-01-01,2020-01-01,
TGT,1990-01-01,2020-01-01,
TEL,2011-10-14,2020-01-01,CEPH
TDY,2020-06-22,2020-01-01,HOG
TFX,2019-01-18,2020-01-01,PCG
TER,1990-01-01,2020-01-01,
TSLA,2020-12-21,2020-01-01,AIV
TXN,1990-01-01,2020-01-01,
TXT,1990-01-01,2020-01-01,
TMO,1990-01-01,2020-01-01,
TJX,1990-01-01,2020-01-01,
TSCO,2014-01-24,2020-01-01,LIFE
TT,1990-01-01,2020-01-01,
TDG,2016-06-03,2020-01-01,BXLT
TRV,1990-01-01,2020-01-01,
TRMB,2021-01-21,2020-01-01,CXO
TFC,1990-01-01,2020-01-01,
TWTR,2018-06-07,2020-01-01,MON
TYL,2020-06-22,2020-01-01,JWN
TSN,1990-01-01,2020-01-01,
UDR,2016-03-07,2020-01-01,GMCR
ULTA,2016-04-18,2020-01-01,THC
USB,1990-01-01,2020-01-01,
UAA,2014-05-01,2020-01-01,BEAM
UA,1990-01-01,2020-01-01,
UNP,1990-01-01,2020-01-01,
UAL,2015-09-02,2020-01-01,HSP
UNH,1990-01-01,2020-01-01,
UPS,1990-01-01,2020-01-01,
URI,2014-09-20,2020-01-01,BTU
UHS,2014-09-20,2020-01-01,GHC
VLO,1990-01-01,2020-01-01,
VTR,2009-03-03,2020-01-01,JNY
VRSN,1990-01-01,2020-01-01,
VRSK,2015-10-07,2020-01-01,JOY
VZ,1990-01-01,2020-01-01,
VRTX,2013-09-20,2020-01-01,AMD
VFC,1990-01-01,2020-01-01,
VIAC,1990-01-01,2020-01-01,
VTRS,1990-01-01,2020-01-01,
V,2009-12-18,2020-01-01,CIEN
VNO,1990-01-01,2020-01-01,
VMC,1990-01-01,2020-01-01,
WRB,2019-12-05,2020-01-01,VIAB
WAB,2019-02-27,2020-01-01,GT
WMT,1990-01-01,2020-01-01,
WBA,1990-01-01,2020-01-01,
DIS,1990-01-01,2020-01-01,
WM,1990-01-01,2020-01-01,
WAT,1990-01-01,2020-01-01,
WEC,1990-01-01,2020-01-01,
WFC,1990-01-01,2020-01-01,
WELL,1990-01-01,2020-01-01,
WST,2020-05-22,2020-01-01,HP
WDC,1990-01-01,2020-01-01,
WU,1990-01-01,2020-01-01,
WRK,1990-01-01,2020-01-01,
WY,1990-01-01,2020-01-01,
WHR,1990-01-01,2020-01-01,
WMB,1990-01-01,2020-01-01,
WLTW,2016-01-05,2020-01-01,FOSL
WYNN,1990-01-01,2020-01-01,
XEL,1990-01-01,2020-01-01,
XLNX,1990-01-01,2020-01-01,
XYL,2011-10-31,2020-01-01,ITT
YUM,1990-01-01,2020-01-01,
ZBRA,2019-12-23,2020-01-01,TRIP
ZBH,1990-01-01,2020-01-01,
ZION,1990-01-01,2020-01-01,
ZTS,2013-06-21,2020-01-01,FHN
HCBK,1990-01-01,2015-11-02,
CBE,2011-11-18,2012-12-03,JNS
BTU,1990-01-01,2014-09-20,
NKTR,2018-03-19,2019-10-03,CHK
ACE,1990-01-01,2016-01-19,
JWN,1990-01-01,2020-06-22,
GAS,2011-12-12,2011-12-12,
RDC,1990-01-01,2014-08-18,
MFE,1990-01-01,2011-02-28,
SVU,1990-01-01,2012-04-23,
AIV,1990-01-01,2020-12-21,
R,1990-01-01,2017-06-19,
CA,1990-01-01,2018-11-06,
MHS,1990-01-01,2012-04-03,
CEG,1990-01-01,2012-03-13,
STJ,1990-01-01,2017-01-05,
NFX,2010-12-17,2019-02-15,NYT
PLL,1990-01-01,2015-08-28,
ALXN,2012-05-21,2021-07-21,MMI
WB,1990-01-01,2008-12-31,
MMI,1990-01-01,2012-05-21,
FOSL,2012-04-03,2016-01-05,MHS
GRA,1990-01-01,2000-12-05,
ETFC,1990-01-01,2020-10-07,
MOLX,1990-01-01,2013-12-10,
MIL,1990-01-01,2010-07-14,
PCS,1990-01-01,2013-04-30,
YHOO,1999-12-07,2017-06-19,LDW
EK,1990-01-01,2010-12-17,
FNM,1990-01-01,2008-09-12,
SNI,1990-01-01,2018-03-07,
PGN,1990-01-01,2012-07-02,
PDCO,1990-01-01,2018-03-19,
SBL,2000-12-05,2007-01-10,OI
BS,1990-01-01,2000-12-05,
NE,1990-01-01,2015-07-20,
LVLT,2014-11-05,2017-10-13,JBL
WPX,2011-12-31,2014-03-21,CPWR
RHT,1990-01-01,2019-07-15,
RAI,1990-01-01,2017-07-26,
APOL,1990-01-01,2013-06-28,
PCG,1990-01-01,2019-01-18,
ADT,2012-10-01,2016-05-03,LXK
TRIP,2011-12-20,2019-12-23,TLAB
APC,1990-01-01,2019-08-09,
JBL,1990-01-01,2014-11-05,
LSI,1990-01-01,2014-05-08,
SWN,1990-01-01,2017-04-04,
DV,1990-01-01,2012-10-01,
MON,1990-01-01,2018-06-07,
ABK,2000-12-05,2008-06-10,CCK
TEG,1990-01-01,2015-07-01,
AMG,2014-07-01,2019-12-23,FRX
NOV,1990-01-01,2021-09-20,
GME,2007-12-13,2016-04-25,DJ
EQT,1990-01-01,2018-11-13,
HP,2010-02-26,2020-05-22,RX
CPGX,2015-07-02,2016-07-05,ATI
AET,1990-01-01,2018-12-03,
SHLD,1990-01-01,2012-09-05,
JOY,2011-02-25,2015-10-07,AYE
AKS,1990-01-01,2011-12-16,
CVG,1990-01-01,2009-12-18,
BCR,1990-01-01,2018-01-03,
NBL,1990-01-01,2020-10-09,
SLM,1990-01-01,2014-05-01,
GGP,2013-12-10,2018-08-28,MOLX
BEAM,1990-01-01,2014-05-01,
X,1990-01-01,2014-07-02,
CIEN,1990-01-01,2009-12-18,
RSH,1990-01-01,2011-06-30,
QTRN,1990-01-01,2003-09-25,
VNT,2020-10-09,2021-03-22,NBL
MBI,1990-01-01,2009-12-18,
HOT,1990-01-01,2016-09-22,
JCP,1990-01-01,2013-12-02,
NSM,1990-01-01,2011-09-23,
DPS,1990-01-01,2018-07-02,
MXIM,2018-12-03,2021-08-30,AET
FLIR,1990-01-01,2021-05-14,
STR,1990-01-01,2010-06-30,
SGP,1990-01-01,2009-11-03,
SLR,1990-01-01,2007-10-02,
KBH,1990-01-01,2009-12-18,
FL,2016-04-04,2019-08-09,CAM
ANDV,2007-09-27,2018-10-01,MXIM
CFN,1990-01-01,2015-03-18,
GMCR,2014-03-21,2016-03-07,WPX
TIF,1990-01-01,2021-01-07,
TSS,1990-01-01,2019-09-23,
HOG,1990-01-01,2020-06-22,
BHF,2017-08-08,2019-04-02,AN
FLS,1990-01-01,2021-03-22,
ESRX,2003-09-25,2018-12-24,QTRN
TGNA,1990-01-01,2017-06-02,
RX,1990-01-01,2010-02-26,
AYI,2016-05-03,2018-06-18,ADT
ACAS,1990-01-01,2009-03-03,
SCG,1990-01-01,2019-01-02,
ALTR,1990-01-01,2015-12-29,
WFM,1990-01-01,2017-08-29,
WCG,2018-09-14,2020-01-28,XL
STI,1990-01-01,2019-12-09,
ENDP,2015-01-27,2017-03-02,COV
LO,2008-06-10,2015-06-11,ABK
HNZ,1990-01-01,2013-06-06,
CAM,1990-01-01,2016-04-04,
ARNC,2016-11-01,2020-04-01,AA
COL,1990-01-01,2018-12-03,
VAR,1990-01-01,2021-04-20,
MWW,1990-01-01,2011-12-16,
FLR,1990-01-01,2019-06-03,
FHN,1990-01-01,2013-06-21,
PCL,1990-01-01,2016-02-22,
FDO,1990-01-01,2015-07-08,
RTN,1990-01-01,2020-04-03,
DNB,1990-01-01,2017-04-05,
SLG,2015-03-23,2021-03-22,NBR
TE,1990-01-01,2016-07-01,
JDSU,2000-07-27,2013-12-23,RAD
BXLT,2015-07-01,2016-06-03,QEP
BIG,1990-01-01,2013-02-15,
TWX,1990-01-01,2018-06-20,
EMC,1990-01-01,2016-09-08,
HRB,1990-01-01,2020-09-21,
CSC,1990-01-01,2015-12-01,
FSLR,1990-01-01,2017-03-20,
BJS,1990-01-01,2010-04-29,
Q,2017-08-29,2011-03-31,WFM
POM,1990-01-01,2016-03-30,
SIG,2015-07-29,2018-03-19,DTV
AV,1990-01-01,2007-10-26,
CCK,1990-01-01,2000-12-05,
CPRI,2013-11-13,2020-05-12,NYX
BMC,1990-01-01,2013-09-10,
CPWR,1990-01-01,2011-12-31,
PTV,1990-01-01,2010-11-17,
SAI,2009-12-18,2013-09-20,CVG
CELG,1990-01-01,2019-11-21,
SII,1990-01-01,2010-08-26,
ATI,1990-01-01,2015-07-02,
JNS,1990-01-01,2011-11-18,
COTY,2016-09-30,2020-09-21,DO
DYN,1990-01-01,2009-12-18,
GT,1990-01-01,2019-02-27,
ANR,2011-06-01,2012-10-02,MEE
CEPH,1990-01-01,2011-10-14,
RAD,1990-01-01,2000-07-27,
TSG,1990-01-01,2007-03-30,
XRX,1990-01-01,2021-03-22,
DJ,1990-01-01,2007-12-13,
CSRA,2015-12-01,2018-04-04,CSC
KRFT,2012-10-02,2015-07-06,ANR
NBR,1990-01-01,2015-03-23,
BMS,1990-01-01,2014-12-05,
RIG,2013-10-29,2017-07-26,DELL
SWY,1990-01-01,2015-01-27,
ABS,1990-01-01,2006-06-02,
AYE,2000-12-05,2011-02-25,GRA
DO,1990-01-01,2016-09-30,
AA,1990-01-01,2016-11-01,
KSE,1990-01-01,2007-08-24,
XTO,1990-01-01,2010-06-28,
SIAL,1990-01-01,2015-11-19,
NYX,1990-01-01,2013-11-13,
XEC,2014-06-20,2020-03-02,IGT
NCR,1990-01-01,2007-10-01,
CVC,2010-12-17,2016-06-22,KG
CCE,1990-01-01,2016-05-31,
CHK,1990-01-01,2018-03-19,
GR,1990-01-01,2012-07-31,
ODP,1990-01-01,2010-12-17,
LIFE,1990-01-01,2014-01-24,
OI,2008-12-31,2016-12-02,WB
KG,1990-01-01,2010-12-17,
NYT,1990-01-01,2010-12-17,
MEE,1990-01-01,2011-06-01,
EVHC,2016-12-02,2018-10-11,LM
SLE,1990-01-01,2012-06-29,
FDC,1990-01-01,2007-09-26,
MAT,1990-01-01,2019-06-07,
HSP,1990-01-01,2015-09-02,
UNM,1990-01-01,2021-09-20,
FTI,1990-01-01,2021-02-12,
HFC,2018-06-18,2021-06-03,AYI
THC,1990-01-01,2016-04-18,
LLTC,1990-01-01,2017-03-13,
