,Date,Added,Removed
158,2015-03-23,AAL,AGN
159,2015-03-23,EQIX,DNR
160,2015-03-23,SLG,NBR
161,2015-03-23,HBI,AVP
162,2015-03-18,HSIC,CFN
163,2015-03-12,SWKS,PETM
164,2015-01-27,HCA,SWY
165,2015-01-27,ENDP,COV
166,2014-12-05,RCL,BMS
167,2014-11-05,LVLT,JBL
168,2014-09-20,URI,BTU
169,2014-09-20,UHS,GHC
170,2014-08-18,MNK,RDC
172,2014-07-02,MLM,X
173,2014-07-01,AMG,FRX
174,2014-06-20,XEC,IGT
175,2014-05-08,AVGO,LSI
176,2014-05-01,UAA,BEAM
177,2014-05-01,NAVI,SLM
179,2014-04-02,ESS,CLF
180,2014-03-21,GMCR,WPX
181,2014-01-24,TSCO,LIFE
182,2013-12-23,ADS,ANF
183,2013-12-23,MHK,JDSU
184,2013-12-23,FB,TER
185,2013-12-10,GGP,MOLX
186,2013-12-02,ALLE,JCP
187,2013-11-13,KORS,NYX
188,2013-10-29,RIG,DELL
189,2013-09-20,VRTX,AMD
190,2013-09-20,AME,SAI
191,2013-09-10,DAL,BMC
192,2013-07-08,NLSN,S
193,2013-06-28,FOXA,APOL
194,2013-06-21,ZTS,FHN
195,2013-06-06,GM,HNZ
196,2013-05-23,KSU,DF
197,2013-05-08,MAC,CVH
198,2013-04-30,REGN,PCS
199,2013-02-15,PVH,BIG
200,2012-12-31,ABBV,FII
201,2012-12-21,DLPH,TIE
202,2012-12-11,GRMN,RRD
203,2012-12-03,DG,CBE
204,2012-10-10,PETM,SUN
205,2012-10-02,KRFT,ANR
206,2012-10-01,ADT,LXK
207,2012-10-01,PNR,DV
208,2012-09-05,LYB,SHLD
209,2012-07-31,ESV,GR
210,2012-07-02,STX,PGN
211,2012-06-29,MNST,SLE
212,2012-06-05,LRCX,NVLS
213,2012-05-21,ALXN,MMI
214,2012-05-17,KMI,EP
215,2012-04-23,PSX,SVU
216,2012-04-03,FOSL,MHS
217,2012-03-13,CCI,CEG
218,2011-12-31,WPX,CPWR
219,2011-12-20,TRIP,TLAB
220,2011-12-16,BWA,AKS
221,2011-12-16,PRGO,MWW
222,2011-12-16,DLTR,WFR
223,2011-12-12,GAS,GAS
224,2011-11-18,CBE,JNS
225,2011-10-31,XYL,ITT
226,2011-10-14,TEL,CEPH
227,2011-09-23,MOS,NSM
228,2011-07-05,ACN,MI
229,2011-06-30,MPC,RSH
230,2011-06-01,ANR,MEE
231,2011-04-27,CMG,NOVL
232,2011-04-01,BLK,GENZ
233,2011-03-31,EW,Q
234,2011-02-28,COV,MFE
235,2011-02-25,JOY,AYE
236,2010-12-17,CVC,KG
237,2010-12-17,FFIV,EK
238,2010-12-17,NFLX,ODP
239,2010-12-17,NFX,NYT
240,2010-11-17,IR,PTV
241,2010-08-26,TYC,SII
242,2010-07-14,CB,MIL
243,2010-06-30,QEP,STR
244,2010-06-28,KMX,XTO
245,2010-04-29,CERN,BJS
246,2010-02-26,HP,RX
247,2009-12-18,V,CIEN
248,2009-12-18,MJN,DYN
249,2009-12-18,CLF,KBH
250,2009-12-18,SAI,CVG
251,2009-12-18,ROST,MBI
252,2009-11-03,PCLN,SGP
253,2009-09-28,ARG,CBE
254,2009-03-03,HRL,ACAS
255,2009-03-03,VTR,JNY
256,2008-12-31,OI,WB
257,2008-09-16,HRS,LEH
258,2008-09-12,CRM,FRE
259,2008-09-12,FAST,FNM
260,2008-06-10,LO,ABK
261,2007-12-20,RRC,TRB
262,2007-12-13,GME,DJ
263,2007-10-26,JEC,AV
264,2007-10-02,EXPE,SLR
265,2007-10-01,TDC,NCR
266,2007-09-27,TSO,MXIM
267,2007-09-26,ICE,FDC
268,2007-08-24,LUK,KSE
269,2007-03-30,KFT,TSG
270,2007-01-10,AVB,SBL
271,2006-06-02,JNPR,ABS
272,2005-11-18,AMZN,T
273,2005-07-01,STZ,GLK
274,2003-09-25,ESRX,QTRN
275,2000-12-05,INTU,BS
276,2000-12-05,SBL,OI
277,2000-12-05,AYE,GRA
278,2000-12-05,ABK,CCK
279,2000-07-27,JDSU,RAD
280,1999-12-07,YHOO,LDW
