,Long,Short
2003-06-05,0.003472040557036171,0.022057926484165158
2003-06-06,0.008403884584579968,0.03755682077773924
2003-06-09,0.012053855879895426,-0.0018992941155576814
2003-06-10,0.01363087950158558,0.0035241321150668247
2003-06-11,0.014384118522400468,0.0010354653230584487
2003-06-12,-0.0016865479229665637,0.021091707299999474
2003-06-13,0.01737566242617069,-0.018365171584864105
2003-06-16,0.0014840086687516684,0.0005358401837324389
2003-06-17,0.01629968745731254,0.006918058681173933
2003-06-18,-0.00396621030991493,0.0029390890511154177
2003-06-19,0.005157674144429003,0.0034106684105255415
2003-06-20,-0.011824217344589827,0.03191139491129491
2003-06-23,0.01780492315290829,0.00705854996517723
2003-06-24,0.0017576004116484744,0.010788642506039392
2003-06-25,0.028123737113364754,-0.004213528099627195
